[3:44] Elemental Blast
[3:45] Elemental Blast
[3:45] Lightning Bolt
[3:45] Lightning Bolt
[3:46] Lightning Bolt
[3:46] Lightning Bolt
[3:47] Lightning Bolt
[3:49] Lightning Bolt
[3:49] Lightning Bolt
[3:50] Lightning Bolt
[3:50] Tremor Totem
[3:51] Lightning Bolt
[3:54] Ghost Wolf
[3:59] Lightning Bolt
[4:00] Lightning Bolt
[4:00] Elemental Blast
[4:02] Elemental Blast
[4:02] Lightning Bolt
[4:03] Lightning Bolt
[4:03] Lightning Bolt
[4:05] Lightning Bolt
[4:05] Lightning Bolt
[4:06] Lightning Bolt
[4:06] Lightning Bolt
[4:22] Ghost Wolf
[4:24] Lightning Bolt
[4:25] Lightning Bolt
[4:25] Lightning Bolt
[4:26] Lightning Bolt
[4:27] Ancestral Swiftness
[4:27] Ascendance
[4:28] Light's Potential
[4:28] Lava Burst
[4:28] Lava Burst
[4:29] Lava Burst
[4:30] Lava Burst
[4:30] Elemental Blast
[4:31] Elemental Blast
[4:31] Lightning Bolt
[4:32] Lightning Bolt
[4:32] Stormkeeper
[4:33] Stormkeeper
[4:34] Lightning Bolt
[4:34] Lightning Bolt
[4:34] Lightning Bolt
[4:34] Lightning Bolt
[4:35] Lightning Bolt
[4:36] Lightning Bolt
[4:36] Lava Burst
[4:36] Lava Burst
[4:37] Lava Burst
[4:37] Lava Burst
[4:37] Lightning Bolt
[4:38] Lava Burst
[4:39] Lava Burst
[4:41] Elemental Blast
[4:41] Elemental Blast
[4:41] Lightning Bolt
[4:42] Lightning Bolt
[4:42] Lightning Bolt
[4:43] Lightning Bolt
[4:43] Lava Burst
[4:43] Lava Burst
[4:44] Lightning Bolt
[4:45] Lightning Bolt
[4:45] Lightning Bolt
[4:46] Lightning Bolt
[4:46] Astral Shift
[4:46] Lightning Bolt
[4:47] Lightning Bolt
[4:47] Elemental Blast
[4:48] Elemental Blast
[4:48] Lava Burst
[4:48] Lava Burst
[4:49] Lava Burst
[4:50] Lava Burst
[4:50] Elemental Blast
[4:51] Elemental Blast
[4:51] Lightning Bolt
[4:52] Lightning Bolt
[4:52] Skyfury
[4:53] Lightning Bolt
[4:54] Lightning Bolt
[4:54] Lightning Bolt
[4:55] Lightning Bolt
[4:55] Lightning Bolt
[4:56] Lightning Bolt
[4:56] Lava Burst
[4:56] Lava Burst
[4:57] Lightning Bolt
[4:58] Lightning Bolt
[4:58] Lightning Bolt
[5:00] Lightning Bolt
[5:00] Lightning Bolt
[5:01] Lightning Bolt
[5:01] Lava Burst
[5:02] Lava Burst
[5:02] Elemental Blast
[5:03] Elemental Blast
[5:03] Lava Burst
[5:03] Lava Burst
[5:04] Lightning Bolt
[5:05] Lightning Bolt
[5:05] Elemental Blast
[5:07] Ghost Wolf
[5:12] Gust of Wind
[5:15] Lightning Bolt
[5:18] Voltaic Blaze
[5:19] Stormkeeper
[5:20] Stormkeeper
[5:20] Lightning Bolt
[5:20] Lightning Bolt
[5:23] Lightning Bolt
[5:23] Lightning Bolt
[5:24] Elemental Blast
[5:29] Lightning Bolt
[5:30] Lightning Bolt
[5:30] Lightning Bolt
[5:31] Ghost Wolf
[5:35] Lightning Bolt
[5:36] Ghost Wolf
[5:43] Lava Burst
[5:45] Lava Burst
[5:45] Elemental Blast
[5:46] Elemental Blast
[5:46] Ancestral Swiftness
[5:47] Lava Burst
[5:47] Lava Burst
[5:48] Lightning Bolt
[5:49] Lightning Bolt
[5:50] Lightning Bolt
[5:51] Voltaic Blaze
[5:53] Lightning Bolt
[5:53] Lightning Bolt
[5:55] Lightning Bolt
[5:55] Elemental Blast
[5:56] Elemental Blast
[5:56] Lava Burst
[5:58] Lava Burst
[5:58] Lava Burst
[5:59] Ghost Wolf
[6:05] Lightning Bolt
[6:06] Lightning Bolt
[6:06] Lightning Bolt
[6:08] Lava Burst
[6:10] Voltaic Blaze
[6:11] Lava Burst
[6:11] Lava Burst
[6:12] Elemental Blast
[6:14] Elemental Blast
[6:14] Lightning Bolt
[6:15] Lightning Bolt
[6:15] Lightning Bolt
[6:17] Lightning Bolt
[6:17] Lightning Bolt
[6:18] Lightning Bolt
[6:18] Lightning Bolt
[6:19] Lightning Bolt
[6:19] Stormkeeper
[6:20] Stormkeeper
[6:20] Lightning Bolt
[6:20] Lightning Bolt
[6:21] Lightning Bolt
[6:21] Lightning Bolt
[6:22] Lightning Bolt
[6:24] Lightning Bolt
[6:24] Lava Burst
[6:24] Lava Burst
[6:26] Gust of Wind
[6:29] Elemental Blast
[6:30] Elemental Blast
[6:30] Ancestral Swiftness
[6:32] Skyfury
[6:35] Lightning Bolt
[6:35] Lightning Bolt
[6:36] Lightning Bolt
[6:37] Lightning Bolt
[6:37] Voltaic Blaze
[6:38] Lightning Bolt
[6:39] Lightning Bolt
[6:39] Elemental Blast
[6:41] Elemental Blast
[6:41] Lava Burst
[6:41] Lava Burst
[6:42] Lightning Bolt
[6:44] Lightning Bolt
